"Var1"	"Freq"
"464"	"EEF2"	4
"465"	"EEF2K"	4
"466"	"EFNA5"	4
"467"	"EFS"	4
"468"	"EPAS1"	4
"469"	"EPHA1"	4
"470"	"EPHX1"	4
"471"	"ERCC8"	4
"472"	"ESRRB"	4
"473"	"ETV4"	4
"474"	"EZH2"	4
"475"	"FANCB"	4
"476"	"FANCC"	4
"477"	"FARP1"	4
"478"	"FGB"	4
"479"	"FGR"	4
"480"	"FOXG1"	4
"481"	"FOXO4"	4
"482"	"FURIN"	4
"483"	"FYN"	4
"484"	"GCK"	4
"485"	"GET4"	4
"486"	"GPI"	4
"487"	"GSTA4"	4
"488"	"HMGA2"	4
"489"	"HNMT"	4
"490"	"HSD3B2"	4
"491"	"IFNA2"	4
"492"	"IL11"	4
"493"	"IL13"	4
"494"	"IL17C"	4
"495"	"IL1B"	4
"496"	"IL1R1"	4
"497"	"IL22"	4
"498"	"ITGA6"	4
"499"	"ITLN2"	4
"500"	"JAG2"	4
"501"	"KCNA1"	4
"502"	"KDM4B"	4
"503"	"KRT5"	4
"504"	"LMTK3"	4
"505"	"LYZ"	4
"506"	"MAD1L1"	4
"507"	"MAPK11"	4
"508"	"MARK4"	4
"509"	"MCIDAS"	4
"510"	"MCM10"	4
"511"	"MIB1"	4
"512"	"MRGPRF"	4
"513"	"MSH3"	4
"514"	"MT-CYB"	4
"515"	"MT-ND6"	4
"516"	"MTTP"	4
"517"	"MYBL2"	4
"518"	"MYL2"	4
"519"	"NCOR1"	4
"520"	"NEU1"	4
"521"	"NOL3"	4
"522"	"NPPA"	4
"523"	"NR0B2"	4
"524"	"NR1H3"	4
"525"	"NUDT6"	4
"526"	"OPA1"	4
"527"	"ORAI1"	4
"528"	"OTUD4"	4
"529"	"PAF1"	4
"530"	"PAM"	4
"531"	"PARK7"	4
"532"	"PIAS3"	4
"533"	"PLAUR"	4
"534"	"PLCG1"	4
"535"	"PLCG2"	4
"536"	"PLEK"	4
"537"	"POLR3K"	4
"538"	"POTEF"	4
"539"	"PPA1"	4
"540"	"PRNP"	4
"541"	"PSCA"	4
"542"	"PTCH2"	4
"543"	"PTP4A1"	4
"544"	"PTPRU"	4
"545"	"PUM3"	4
"546"	"RAD50"	4
"547"	"RBL2"	4
"548"	"RNF2"	4
"549"	"RRAD"	4
"550"	"RRM2B"	4
"551"	"S100A8"	4
"552"	"SART3"	4
"553"	"SDS"	4
"554"	"SELENOP"	4
"555"	"SLC45A2"	4
"556"	"SLC5A1"	4
"557"	"SLC7A5"	4
"558"	"SMC1A"	4
"559"	"SPR"	4
"560"	"ST13"	4
"561"	"STMN1"	4
"562"	"SUV39H1"	4
"563"	"SYNM"	4
"564"	"TACR1"	4
"565"	"TBX1"	4
"566"	"TERF1"	4
"567"	"TLR6"	4
"568"	"TOLLIP"	4
"569"	"TRPM7"	4
"570"	"TRPV6"	4
"571"	"TYK2"	4
"572"	"UBA7"	4
"573"	"UGCG"	4
"574"	"UGT2B7"	4
"575"	"WISP2"	4
"576"	"AADAC"	3
"577"	"ABCB4"	3
"578"	"ABCC1"	3
"579"	"ABCC6"	3
"580"	"ABO"	3
"581"	"ACPP"	3
"582"	"ACSL4"	3
"583"	"ACTR1A"	3
"584"	"ADAM17"	3
"585"	"AIDA"	3
"586"	"ALDH1A1"	3
"587"	"ALOX15B"	3
"588"	"ALOX5AP"	3
"589"	"ANGPT2"	3
"590"	"ANKRD1"	3
"591"	"APOD"	3
"592"	"AQP4"	3
"593"	"AQP5"	3
"594"	"ARHGDIA"	3
"595"	"ARSA"	3
"596"	"ATF4"	3
"597"	"ATG5"	3
"598"	"ATG7"	3
"599"	"ATP2A3"	3
"600"	"ATP5F1E"	3
"601"	"ATP6V0A2"	3
"602"	"B2M"	3
"603"	"BIRC5"	3
"604"	"BLNK"	3
"605"	"BNIP1"	3
"606"	"C19orf48"	3
"607"	"C5AR1"	3
"608"	"CACNA1H"	3
"609"	"CADM1"	3
"610"	"CAPN1"	3
"611"	"CARD10"	3
"612"	"CCL28"	3
"613"	"CCL4"	3
"614"	"CCL5"	3
"615"	"CCNC"	3
"616"	"CCND1"	3
"617"	"CCNG2"	3
"618"	"CD1A"	3
"619"	"CD38"	3
"620"	"CD59"	3
"621"	"CD63"	3
"622"	"CDC123"	3
"623"	"CDH11"	3
"624"	"CDK5"	3
"625"	"CDKN1B"	3
"626"	"CDX2"	3
"627"	"CHGB"	3
"628"	"CIDEB"	3
"629"	"CLDN4"	3
"630"	"CLDN5"	3
"631"	"CLINT1"	3
"632"	"COL1A1"	3
"633"	"COPS8"	3
"634"	"CPQ"	3
"635"	"CSF3"	3
"636"	"CTNNBL1"	3
"637"	"CUL1"	3
"638"	"CXCL10"	3
"639"	"CXCL5"	3
"640"	"CXCL6"	3
"641"	"CYR61"	3
"642"	"DBP"	3
"643"	"DCAF7"	3
"644"	"DCT"	3
"645"	"DDX53"	3
"646"	"DHFR"	3
"647"	"DHRS11"	3
"648"	"DKK2"	3
"649"	"DMAP1"	3
"650"	"DUSP16"	3
"651"	"EBP"	3
"652"	"EED"	3
"653"	"EEF1A2"	3
"654"	"EIF5A"	3
"655"	"ELF1"	3
"656"	"ENO1"	3
"657"	"ENOX1"	3
"658"	"EPX"	3
"659"	"ERBB2"	3
"660"	"ERN2"	3
"661"	"EWSR1"	3
"662"	"F11R"	3
"663"	"F7"	3
"664"	"FAF1"	3
"665"	"FBXO32"	3
"666"	"FGF7"	3
"667"	"FHIT"	3
"668"	"FIS1"	3
"669"	"FLG"	3
"670"	"FOLH1"	3
"671"	"FOSB"	3
"672"	"FSD1"	3
"673"	"G3BP1"	3
"674"	"GAB1"	3
"675"	"GATA1"	3
"676"	"GATA3"	3
"677"	"GCH1"	3
"678"	"GPAT3"	3
"679"	"GPHB5"	3
"680"	"GRN"	3
"681"	"GSK3B"	3
"682"	"GTF2H3"	3
"683"	"GYPC"	3
"684"	"HAND2"	3
"685"	"HAVCR1"	3
"686"	"HDGF"	3
"687"	"HHAT"	3
"688"	"HHEX"	3
"689"	"HIST2H3C"	3
"690"	"HLF"	3
"691"	"HMGB1"	3
"692"	"HNF1A"	3
"693"	"HOPX"	3
"694"	"HOXC13"	3
"695"	"HSD3B1"	3
"696"	"HUWE1"	3
"697"	"IAPP"	3
"698"	"IARS"	3
"699"	"IDH2"	3
"700"	"IGFBP4"	3
"701"	"IGFBP5"	3
"702"	"IGFL1"	3
"703"	"IL10"	3
"704"	"IL1A"	3
"705"	"IL25"	3
"706"	"IL4R"	3
"707"	"IL7"	3
"708"	"ISG15"	3
